Año_Mes;Alimentos Y Bebidas No Alcohólicas;Bebidas Alcohólicas, Tabaco Y Narcóticos;Ropa Y Calzado;Vivienda, Agua, Electricidad, Gas Y Otros Combustibles;Mobiliario, Enseres Domésticos Y Demás Artículos Regulares De Los Hogares;Salud;Transporte;Información Y Comunicación;Recreación, Deporte Y Cultura;Servicios De Educación;Restaurantes Y Servicios De Alojamiento;Seguros Y Servicios Financieros;Cuidado Personal, Protección Social Y Bienes Diversos;IPC
mar.-22;95.7764;98.7779;95.4693;96.5826;95.6377;95.1736;96.0861;100.1129;93.5849;97.7066;93.9927;94.8462;96.0922;95.91
abr.-22;95.595;98.9531;95.9762;97.2388;95.9065;95.5596;98.4882;99.7651;93.4592;97.7867;95.4518;95.0527;96.5577;96.38
may.-22;95.3242;99.0656;97.9663;98.1192;96.606;95.8535;99.6534;100.0695;93.8746;97.7693;96.4712;95.5637;97.0021;96.83
jun.-22;96.2698;98.9458;98.5179;98.5839;96.9333;96.6497;100.2838;100.0555;94.6742;97.8869;96.7034;96.1144;97.3708;97.4
jul.-22;97.1695;99.1114;98.0995;99.1146;97.5154;97.7328;101.0698;100.3385;95.22;98.1028;97.934;97.278;98.6226;98.15
ago.-22;97.9402;99.3773;98.278;99.537;99.8122;98.8679;101.2373;100.2136;96.6152;99.8162;98.4801;99.2631;99.1884;98.96
sep.-22;100.1378;99.9182;98.7062;99.8164;100.0502;99.8089;100.8028;100.17;96.8278;100.155;99.3035;99.6776;99.2118;99.79
oct.-22;100;100;100;100;100;100;100;100;100;100;100;100;100;100
nov.-22;99.2934;100.2018;100.2148;100.0977;99.7585;100.2714;98.8694;99.701;99.4879;100.049;100.7802;99.7333;100.1618;99.72
dic.-22;99.9962;100.3236;100.0779;96.4943;99.6832;101.0083;97.8777;99.5783;99.9115;100.3586;101.6443;99.6839;100.7822;99.47
ene.-23;101.8508;102.8927;98.657;102.2178;99.909;101.6054;96.4376;100.9491;99.726;101.1994;103.5189;101.358;101.8814;101.01
feb.-23;103.72;103.59;97.66;103.62;101.05;103.17;96.64;101.61;99.89;102.7;103.81;102.11;102.71;102.02
mar.-23;106.05;103.89;97.73;103.84;100.9;103.78;96.93;101.59;100.58;106.66;104.31;102.25;102.76;102.94
abr.-23;108.09;104.41;98.59;104.08;100.87;104.05;97.25;101.68;100.94;106.64;104.81;102.35;103.86;103.71
may.-23;107.51;104.55;99.15;104.37;100.71;104.35;97.18;101.6;100.75;106.95;105.27;103.37;103.76;103.7
